Category,Descript,DayOfWeek,PdDistrict,Resolution
NON-CRIMINAL,COURTESY REPORT,Thursday,TENDERLOIN,NONE
ROBBERY,"ROBBERY, BODILY FORCE",Thursday,TENDERLOIN,NONE
ASSAULT,INFLICT INJURY ON COHABITEE,Thursday,INGLESIDE,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,TENDERLOIN,"ARREST, CITED"
BURGLARY,"BURGLARY OF STORE, FORCIBLE ENTRY",Thursday,RICHMOND,NONE
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,NORTHERN,"ARREST, CITED"
ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Thursday,BAYVIEW,NONE
ASSAULT,BATTERY,Thursday,CENTRAL,NONE
DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Thursday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT FROM UNLOCKED AUTO,Thursday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,CENTRAL,NONE
BURGLARY,"BURGLARY, HOT PROWL, UNLAWFUL ENTRY",Thursday,TARAVAL,NONE
ROBBERY,"ROBBERY, BODILY FORCE",Thursday,SOUTHERN,UNFOUNDED
TRESPASS,TRESPASSING,Thursday,CENTRAL,COMPLAINANT REFUSES TO PROSECUTE
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Thursday,TENDERLOIN,NONE
ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Thursday,TENDERLOIN,NONE
OTHER OFFENSES,HARASSING PHONE CALLS,Thursday,MISSION,NONE
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Thursday,MISSION,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,SOUTHERN,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,INGLESIDE,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,BAYVIEW,"ARREST, CITED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,BAYVIEW,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Thursday,MISSION,NONE
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,NORTHERN,"ARREST, CITED"
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Thursday,SOUTHERN,"ARREST, CITED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Thursday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,BAYVIEW,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Thursday,TENDERLOIN,"ARREST, CITED"
VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Thursday,NORTHERN,"ARREST, CITED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,BAYVIEW,"ARREST, CITED"
PROSTITUTION,SOLICITS FOR ACT OF PROSTITUTION,Thursday,TENDERLOIN,"ARREST, CITED"
DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,RICHMOND,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,BAYVIEW,"ARREST, CITED"
DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,TARAVAL,"ARREST, BOOKED"
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,TARAVAL,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Friday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Friday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Thursday,CENTRAL,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,PARK,"ARREST, CITED"
BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Thursday,INGLESIDE,NONE
DRUG/NARCOTIC,POSSESSION OF COCAINE,Thursday,INGLESIDE,NONE
OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Thursday,INGLESIDE,NONE
