Category,Descript,DayOfWeek,PdDistrict,Resolution
NON-CRIMINAL,LOST PROPERTY,Sunday,NORTHERN,NONE
BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Tuesday,INGLESIDE,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Tuesday,MISSION,JUVENILE BOOKED
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,MISSION,NONE
LARCENY/THEFT,PETTY THEFT WITH PRIOR,Tuesday,TENDERLOIN,"ARREST, BOOKED"
ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Tuesday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,INGLESIDE,NONE
NON-CRIMINAL,LOST PROPERTY,Tuesday,SOUTHERN,NONE
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Tuesday,BAYVIEW,"ARREST, BOOKED"
FRAUD,"FALSE PRETENSES, PETTY THEFT",Tuesday,NORTHERN,NONE
WARRANTS,ENROUTE TO PAROLE OFFICER,Tuesday,TENDERLOIN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Tuesday,TENDERLOIN,"ARREST, BOOKED"
DRUG/NARCOTIC,SALE OF MARIJUANA,Tuesday,PARK,"ARREST, BOOKED"
OTHER OFFENSES,HARASSING PHONE CALLS,Tuesday,TARAVAL,NONE
BURGLARY,"BURGLARY, FORCIBLE ENTRY",Friday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,MISSION,NONE
NON-CRIMINAL,LOST PROPERTY,Tuesday,MISSION,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,NORTHERN,PSYCHOPATHIC CASE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Friday,SOUTHERN,NONE
DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,PARK,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Tuesday,PARK,"ARREST, BOOKED"
DRUG/NARCOTIC,SALE OF MARIJUANA,Tuesday,PARK,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM A BUILDING,Tuesday,NORTHERN,NONE
LARCENY/THEFT,PETTY THEFT WITH PRIOR,Tuesday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,PAROLE VIOLATION,Tuesday,SOUTHERN,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Tuesday,SOUTHERN,"ARREST, BOOKED"
NON-CRIMINAL,LOST PROPERTY,Tuesday,INGLESIDE,NONE
ASSAULT,BATTERY,Tuesday,MISSION,NONE
WARRANTS,ENROUTE TO DEPARTMENT OF CORRECTIONS,Tuesday,BAYVIEW,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,SOUTHERN,"ARREST, CITED"
MISSING PERSON,MISSING ADULT,Saturday,SOUTHERN,NONE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Tuesday,CENTRAL,NONE
BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Monday,NORTHERN,NONE
OTHER OFFENSES,PROBATION VIOLATION,Tuesday,TENDERLOIN,"ARREST, BOOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,SOUTHERN,PSYCHOPATHIC CASE
BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Thursday,NORTHERN,NONE
ASSAULT,BATTERY,Wednesday,MISSION,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,TENDERLOIN,PSYCHOPATHIC CASE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,BAYVIEW,NONE
ASSAULT,BATTERY,Tuesday,CENTRAL,NONE
NON-CRIMINAL,LOST PROPERTY,Tuesday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,SOUTHERN,"ARREST, CITED"
BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Tuesday,TARAVAL,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Tuesday,CENTRAL,NONE
NON-CRIMINAL,LOST PROPERTY,Tuesday,MISSION,NONE
VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Tuesday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,BAYVIEW,NONE
OTHER OFFENSES,HARASSING PHONE CALLS,Tuesday,BAYVIEW,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,TENDERLOIN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,TENDERLOIN,PSYCHOPATHIC CASE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,BAYVIEW,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,RICHMOND,NONE
BURGLARY,SAFE BURGLARY OF A STORE,Tuesday,CENTRAL,NONE
NON-CRIMINAL,AIDED CASE,Tuesday,TARAVAL,NONE
ROBBERY,"ROBBERY, BODILY FORCE",Tuesday,SOUTHERN,NONE
ASSAULT,BATTERY,Tuesday,SOUTHERN,NONE
BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Tuesday,TARAVAL,"ARREST, BOOKED"
FRAUD,FALSE ID TO PEACE OFFICER,Tuesday,TARAVAL,"ARREST, BOOKED"
OTHER OFFENSES,POSSESSION OF BURGLARY TOOLS,Tuesday,TARAVAL,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Tuesday,TARAVAL,"ARREST, BOOKED"
LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,MISSION,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,BAYVIEW,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,PARK,PSYCHOPATHIC CASE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,NORTHERN,PSYCHOPATHIC CASE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,CENTRAL,NONE
DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Tuesday,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF METHADONE FOR SALES,Tuesday,SOUTHERN,"ARREST, BOOKED"
DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Tuesday,SOUTHERN,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Tuesday,SOUTHERN,"ARREST, BOOKED"
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,INGLESIDE,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,RICHMOND,"ARREST, CITED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,NORTHERN,PSYCHOPATHIC CASE
OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,NORTHERN,"ARREST, CITED"
ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Tuesday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT PICKPOCKET,Wednesday,MISSION,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,NORTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Tuesday,NORTHERN,NONE
DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,PROBATION VIOLATION,Wednesday,TENDERLOIN,"ARREST, BOOKED"
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,PARK,"ARREST, CITED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,NORTHERN,PSYCHOPATHIC CASE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,SOUTHERN,"ARREST, CITED"
WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Wednesday,MISSION,"ARREST, BOOKED"
WARRANTS,WARRANT ARREST,Wednesday,MISSION,"ARREST, BOOKED"
OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,MISSION,"ARREST, BOOKED"
SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Wednesday,TARAVAL,NONE
LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Wednesday,INGLESIDE,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,NORTHERN,"ARREST, CITED"
BURGLARY,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",Tuesday,CENTRAL,NONE
WARRANTS,WARRANT ARREST,Wednesday,TENDERLOIN,"ARREST, BOOKED"
DISORDERLY CONDUCT,DISTURBING THE PEACE,Wednesday,PARK,"ARREST, CITED"
OTHER OFFENSES,TRAFFIC VIOLATION,Wednesday,INGLESIDE,"ARREST, CITED"
DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Wednesday,TENDERLOIN,"ARREST, BOOKED"
DISORDERLY CONDUCT,COMMITTING PUBLIC NUISANCE,Wednesday,TENDERLOIN,NONE
TRESPASS,TRESPASSING,Wednesday,TENDERLOIN,NONE
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,TENDERLOIN,PSYCHOPATHIC CASE
BURGLARY,"BURGLARY OF RESIDENCE, UNLAWFUL ENTRY",Tuesday,PARK,NONE
NON-CRIMINAL,LOST PROPERTY,Monday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,MISSION,NONE
FRAUD,"CREDIT CARD, THEFT BY USE OF",Tuesday,MISSION,NONE
MISSING PERSON,MISSING ADULT,Tuesday,RICHMOND,NONE
OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,TENDERLOIN,"ARREST, CITED"
ASSAULT,BATTERY OF A POLICE OFFICER,Wednesday,MISSION,"ARREST, CITED"
OTHER OFFENSES,RESISTING ARREST,Wednesday,MISSION,"ARREST, CITED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,MISSION,"ARREST, CITED"
ASSAULT,BATTERY,Wednesday,MISSION,NONE
NON-CRIMINAL,AIDED CASE,Wednesday,SOUTHERN,NONE
ASSAULT,THREATS AGAINST LIFE,Saturday,RICHMOND,NONE
LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Wednesday,NORTHERN,NONE
ASSAULT,BATTERY,Tuesday,MISSION,"ARREST, BOOKED"
KIDNAPPING,FALSE IMPRISONMENT,Tuesday,MISSION,"ARREST, BOOKED"
NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Wednesday,RICHMOND,PSYCHOPATHIC CASE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Wednesday,MISSION,JUVENILE ADMONISHED
NON-CRIMINAL,LOST PROPERTY,Tuesday,NORTHERN,NONE
ASSAULT,BATTERY,Wednesday,TENDERLOIN,NONE
NON-CRIMINAL,LOST PROPERTY,Thursday,PARK,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,PARK,NONE
NON-CRIMINAL,LOST PROPERTY,Wednesday,PARK,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Tuesday,TARAVAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Thursday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,TARAVAL,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,TARAVAL,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,NORTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Friday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,CENTRAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,CENTRAL,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,CENTRAL,NONE
NON-CRIMINAL,LOST PROPERTY,Sunday,CENTRAL,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,CENTRAL,NONE
NON-CRIMINAL,LOST PROPERTY,Thursday,CENTRAL,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Wednesday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,SOUTHERN,NONE
NON-CRIMINAL,LOST PROPERTY,Thursday,SOUTHERN,NONE
LARCENY/THEFT,GRAND THEFT OF PROPERTY,Monday,SOUTHERN,NONE
VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Thursday,SOUTHERN,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Thursday,INGLESIDE,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Wednesday,INGLESIDE,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,INGLESIDE,NONE
LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Thursday,PARK,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Friday,PARK,NONE
LARCENY/THEFT,PETTY THEFT OF PROPERTY,Saturday,PARK,NONE
